ngram,count
happiness,137
cultural,75
wellbeing,56
social,51
psychological,35
personal,34
psychology,33
construal,29
japan,27
japanese,27
interpersonal,25
cultures,24
positive,24
construal happiness,23
personality,23
subjective,23
individual,22
support,22
achievement,21
journal,21
negative,21
social psychology,21
emotional,20
cultural psychological,19
europeanamerican,19
happiness cultural,19
individualism,19
asian,18
east,18
orientation,18
self,18
subjective wellbeing,18
individuals,17
interpersonal construal,17
selfesteem,17
affect,16
happiness cultural psychological,16
interpersonal construal happiness,16
personality social,16
construal happiness cultural,15
construal happiness cultural psychological,15
contexts,15
interpersonal construal happiness cultural,15
interpersonal construal happiness cultural psychological,15
personal interpersonal,15
personal interpersonal construal,15
personal interpersonal construal happiness,15
relationships,15
crosscultural,14
differences,14
personal interpersonal construal happiness cultural,14
personal interpersonal construal happiness cultural psychological,14
relationship,14
society,14
states,14
personality social psychology,13
studies,13
suggested,13
cultural construal,12
earthquake,12
cultural contexts,11
effect,11
journal personality,11
markus,11
participants,11
research,11
satisfaction,11
east asian,10
factors,10
mobility,10
point,10
relational,10
culture,9
current,9
economic,9
emotion,9
emotions,9
example,9
goals,9
high,9
important,9
achievement orientation,8
addition,8
change,8
